original_track_id,filtered_track_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bottom_center_x,bottom_center_y,confidence,court_region_score,size_score,duration_score,final_player_score,keep,rejection_reason
unknown_7,,133,2142.007,182.774,2211.123,345.259,2176.565,264.017,2176.565,345.259,0.3305,0.45,0.1692,1.0,0.5072,False,lower_ranked_player_candidate
unknown_5,,133,2526.871,225.9,2599.378,354.052,2563.125,289.976,2563.1245,354.052,0.3171,0.45,0.14,1.0,0.4977,False,lower_ranked_player_candidate
unknown_10,,133,394.339,1048.954,563.221,1301.717,478.78,1175.335,478.78,1301.717,0.3081,0.05,0.6433,1.0,0.4334,False,far_outside_court_region
unknown_11,,133,404.851,1053.103,524.033,1288.83,464.442,1170.967,464.442,1288.83,0.2988,0.05,0.4234,1.0,0.3908,False,far_outside_court_region
unknown_8,,133,1410.622,168.293,1471.958,333.31,1441.29,250.802,1441.29,333.31,0.2956,0.45,0.1525,1.0,0.493,False,lower_ranked_player_candidate
unknown_12,,133,1917.622,227.694,2003.049,330.845,1960.336,279.27,1960.3355000000001,330.845,0.2535,0.45,0.1328,1.0,0.476,False,lower_ranked_player_candidate
player_2,player_a,134,2259.074,384.56,2318.502,553.559,2288.788,469.059,2288.788,553.559,0.7498,1.0,0.1514,1.0,0.8472,True,
player_1,player_b,134,1285.822,1549.083,1490.822,1926.236,1388.322,1737.659,1388.322,1926.236,0.7403,0.45,1.0,1.0,0.7879,True,
unknown_6,,134,1022.221,840.103,1140.036,1005.455,1081.129,922.779,1081.1285,1005.455,0.4224,0.45,0.2936,1.0,0.559,False,lower_ranked_player_candidate
unknown_4,,134,1729.193,208.468,1829.737,341.671,1779.465,275.07,1779.4650000000001,341.671,0.4037,0.45,0.2018,1.0,0.5365,False,lower_ranked_player_candidate
unknown_3,,134,587.713,826.5,853.95,1087.906,720.832,957.203,720.8315,1087.906,0.3996,0.05,1.0,1.0,0.5269,False,far_outside_court_region
